N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto
539049,2020-12-15 16:21:00,15615,United Kingdom,364,1048.64
549684,2021-04-11 13:24:00,0,United Kingdom,1,30.0
580068,2021-12-01 13:41:00,17321,United Kingdom,5,41.25
542745,2021-01-31 16:47:00,15881,United Kingdom,154,339.29
575525,2021-11-10 11:06:00,13983,United Kingdom,72,128.88
542936,2021-02-02 11:10:00,0,United Kingdom,144,161.56
565682,2021-09-06 10:42:00,14796,United Kingdom,467,835.95
562220,2021-08-03 14:19:00,15150,United Kingdom,108,304.42
562002,2021-08-01 13:48:00,14567,United Kingdom,172,800.76
538010,2020-12-09 12:20:00,17526,United Kingdom,40,226.8
579089,2021-11-28 10:46:00,17920,United Kingdom,58,111.11
560713,2021-07-20 13:09:00,16774,United Kingdom,56,160.8
571098,2021-10-13 15:38:00,17841,United Kingdom,200,437.43
574994,2021-11-08 11:03:00,17870,United Kingdom,62,143.11
570257,2021-10-10 09:56:00,13767,United Kingdom,129,380.31
541669,2021-01-20 12:29:00,17315,United Kingdom,172,331.76
552404,2021-05-09 12:39:00,15932,United Kingdom,262,305.02
566035,2021-09-08 13:17:00,12839,United Kingdom,286,413.58
576911,2021-11-17 10:01:00,17461,United Kingdom,342,349.2
572272,2021-10-21 16:18:00,13171,United Kingdom,60,132.54
577783,2021-11-21 16:20:00,18139,United Kingdom,1644,2786.4
578757,2021-11-25 11:41:00,12748,United Kingdom,256,420.41
542351,2021-01-27 12:13:00,14560,United Kingdom,39,152.25
559164,2021-07-06 16:39:00,16422,United Kingdom,406,587.46
578150,2021-11-23 11:18:00,16020,United Kingdom,10,16.5
558770,2021-07-03 15:19:00,12748,United Kingdom,60,115.55
580386,2021-12-04 10:29:00,18065,United Kingdom,50,188.9
570252,2021-10-10 09:14:00,14665,United Kingdom,238,559.52
536782,2020-12-02 15:18:00,17567,United Kingdom,244,517.95
571082,2021-10-13 15:25:00,0,United Kingdom,479,1354.71
551984,2021-05-05 14:37:00,15841,United Kingdom,234,281.66
564476,2021-08-25 12:57:00,12610,Italy,168,309.5
540353,2021-01-06 14:53:00,13764,United Kingdom,282,499.89
558706,2021-07-01 12:52:00,16839,United Kingdom,320,416.96
566278,2021-09-11 14:05:00,13614,United Kingdom,67,302.15
540477,2021-01-07 14:49:00,13233,United Kingdom,404,304.24
569695,2021-10-05 15:35:00,16843,United Kingdom,938,993.88
538308,2020-12-10 13:29:00,14107,United Kingdom,268,363.24
549054,2021-04-06 10:21:00,17719,United Kingdom,109,312.19
555626,2021-06-06 11:55:00,16103,United Kingdom,92,270.8
563921,2021-08-21 14:00:00,16407,United Kingdom,2,15.9
563943,2021-08-22 10:04:00,13139,United Kingdom,268,540.92
575854,2021-11-11 12:20:00,14125,United Kingdom,486,1111.08
552764,2021-05-11 11:34:00,17489,United Kingdom,232,208.56
571407,2021-10-17 12:16:00,13750,United Kingdom,85,330.63
548208,2021-03-29 17:12:00,14189,United Kingdom,224,314.1
556922,2021-06-15 13:56:00,12748,United Kingdom,5,14.25
572076,2021-10-20 14:01:00,13761,United Kingdom,418,578.94
544189,2021-02-16 16:40:00,15867,United Kingdom,36,133.0
562543,2021-08-05 15:45:00,13552,United Kingdom,216,463.9
573136,2021-10-27 17:00:00,12709,Germany,110,268.68
558261,2021-06-28 08:39:00,16945,United Kingdom,24,10.08
581482,2021-12-09 09:08:00,17490,United Kingdom,228,488.4
579740,2021-11-30 14:30:00,0,United Kingdom,13,32.07
559538,2021-07-10 12:25:00,16880,United Kingdom,135,269.49
548862,2021-04-04 13:47:00,17956,United Kingdom,1,12.75
565569,2021-09-05 12:21:00,14111,United Kingdom,18,48.3
556047,2021-06-08 12:57:00,12901,United Kingdom,90,276.24
548189,2021-03-29 15:15:00,16607,United Kingdom,163,141.41
557213,2021-06-17 12:16:00,15021,United Kingdom,119,218.14
571310,2021-10-17 10:17:00,13394,United Kingdom,463,371.73
542254,2021-01-26 16:41:00,14733,United Kingdom,133,511.69
548546,2021-03-31 19:20:00,16600,United Kingdom,186,111.6
558563,2021-06-30 13:43:00,14561,United Kingdom,192,344.92
543385,2021-02-07 16:24:00,0,United Kingdom,1,7.95
546034,2021-03-09 09:44:00,14032,United Kingdom,291,309.64
557602,2021-06-21 11:57:00,14110,United Kingdom,156,379.72
544596,2021-02-21 17:35:00,16441,United Kingdom,110,211.0
553006,2021-05-12 16:45:00,15544,United Kingdom,393,560.35
542634,2021-01-31 10:42:00,15448,United Kingdom,232,494.64
540536,2021-01-09 14:21:00,17757,United Kingdom,93,145.5
536568,2020-12-01 15:28:00,16048,United Kingdom,12,5.04
545686,2021-03-06 12:09:00,18211,United Kingdom,56,137.9
553861,2021-05-19 13:58:00,13591,United Kingdom,135,314.03
567370,2021-09-20 09:13:00,14236,United Kingdom,272,301.56
560034,2021-07-14 13:35:00,13933,United Kingdom,113,300.99
547419,2021-03-23 10:27:00,15061,United Kingdom,1135,1649.58
565680,2021-09-06 10:27:00,14560,United Kingdom,240,100.8
561244,2021-07-26 11:24:00,13865,United Kingdom,54,100.82
542155,2021-01-26 10:51:00,15777,United Kingdom,112,285.6
572023,2021-10-20 11:03:00,17764,United Kingdom,247,556.85
577749,2021-11-21 14:26:00,16242,United Kingdom,299,534.2
550901,2021-04-21 12:12:00,13389,United Kingdom,115,257.89
555546,2021-06-05 13:09:00,17735,United Kingdom,118,228.3
561900,2021-07-31 15:31:00,16655,United Kingdom,523,638.19
547963,2021-03-28 15:42:00,13037,United Kingdom,158,250.42
575968,2021-11-13 12:47:00,14882,United Kingdom,92,341.8
571745,2021-10-19 10:48:00,14911,EIRE,711,1588.75
539986,2020-12-23 15:21:00,0,United Kingdom,7,15.25
543115,2021-02-03 13:27:00,14606,United Kingdom,72,120.75
552947,2021-05-12 11:57:00,16943,United Kingdom,20,172.1
550002,2021-04-14 09:30:00,12709,Germany,41,68.0
569539,2021-10-04 15:58:00,18102,United Kingdom,112,557.76
569863,2021-10-06 14:44:00,0,United Kingdom,1,9.95
545812,2021-03-07 12:26:00,14214,United Kingdom,313,638.65
569740,2021-10-06 10:52:00,15769,United Kingdom,1600,2924.0
564648,2021-08-26 14:04:00,15641,United Kingdom,466,581.82
551859,2021-05-04 15:37:00,14336,United Kingdom,301,230.03
538070,2020-12-09 14:08:00,16519,United Kingdom,24,103.7
576848,2021-11-16 15:38:00,15051,United Kingdom,124,245.68
546442,2021-03-14 10:38:00,15159,United Kingdom,54,207.3
560422,2021-07-18 15:14:00,16746,United Kingdom,162,300.18
559948,2021-07-14 10:41:00,12653,Israel,633,1430.75
539688,2020-12-21 11:00:00,12678,France,1,150.0
548916,2021-04-05 10:07:00,14849,United Kingdom,377,422.34
565851,2021-09-07 13:06:00,14911,EIRE,332,637.29
538909,2020-12-15 10:48:00,13491,United Kingdom,18,97.5
553475,2021-05-17 11:31:00,18102,United Kingdom,306,866.4
536523,2020-12-01 12:50:00,12868,United Kingdom,112,203.3
547571,2021-03-24 09:52:00,16265,United Kingdom,182,432.3
557871,2021-06-23 12:41:00,13458,United Kingdom,130,300.78
553017,2021-05-12 19:01:00,12757,Portugal,311,602.83
549471,2021-04-08 14:39:00,17389,United Kingdom,72,73.5
573924,2021-11-02 09:45:00,15065,United Kingdom,202,299.38
576641,2021-11-16 09:59:00,17549,United Kingdom,150,120.66
574746,2021-11-07 08:30:00,16523,United Kingdom,198,676.8
546019,2021-03-08 17:25:00,14507,United Kingdom,50,39.49
556809,2021-06-14 16:48:00,17179,United Kingdom,82,223.48
567768,2021-09-22 11:17:00,15950,United Kingdom,123,255.84
574661,2021-11-06 11:56:00,13447,United Kingdom,166,430.3
549838,2021-04-12 13:39:00,16705,United Kingdom,48,96.0
547519,2021-03-23 14:46:00,16308,United Kingdom,1000,320.0
577080,2021-11-17 15:24:00,17001,United Kingdom,172,357.6
560048,2021-07-14 15:02:00,13515,United Kingdom,127,132.16
568709,2021-09-28 15:42:00,15036,United Kingdom,176,219.86
539651,2020-12-20 16:19:00,0,United Kingdom,26,32.5
578171,2021-11-23 11:36:00,17685,United Kingdom,207,392.4
576400,2021-11-15 10:51:00,13632,United Kingdom,288,452.14
557640,2021-06-21 16:24:00,0,United Kingdom,364,1760.85
543013,2021-02-02 13:35:00,0,United Kingdom,310,1340.77
542083,2021-01-25 12:26:00,18008,United Kingdom,355,130.81
579759,2021-11-30 15:02:00,15251,United Kingdom,244,363.88
537628,2020-12-07 15:02:00,16293,United Kingdom,189,378.75
542096,2021-01-25 12:52:00,17236,United Kingdom,141,199.33
576909,2021-11-17 09:49:00,12471,Germany,519,1072.12
560105,2021-07-14 19:23:00,16794,United Kingdom,263,222.13
541709,2021-01-21 11:09:00,17504,United Kingdom,233,441.15
578272,2021-11-23 13:40:00,17463,United Kingdom,126,198.31
555363,2021-06-02 14:15:00,14453,United Kingdom,49,119.93
566033,2021-09-08 13:07:00,16031,United Kingdom,204,243.31
571545,2021-10-17 16:59:00,0,United Kingdom,11,13.65
562155,2021-08-03 11:24:00,17940,United Kingdom,648,162.0
561047,2021-07-24 12:46:00,16948,United Kingdom,1368,194.48
568527,2021-09-27 13:21:00,13178,United Kingdom,539,765.0
563382,2021-08-16 10:50:00,18221,United Kingdom,145,169.85
549196,2021-04-07 10:33:00,14911,EIRE,271,356.23
577599,2021-11-21 08:26:00,15738,United Kingdom,202,316.9
569567,2021-10-05 09:56:00,16059,United Kingdom,40,105.3
576347,2021-11-14 15:38:00,13268,United Kingdom,2,8.2
544569,2021-02-21 12:58:00,16980,United Kingdom,418,732.36
542865,2021-02-01 12:08:00,12929,United Kingdom,37,117.85
562789,2021-08-09 13:50:00,14646,Netherlands,7807,12341.21
567798,2021-09-22 12:00:00,13089,United Kingdom,331,886.63
565577,2021-09-05 12:24:00,14177,United Kingdom,2,7.5
550915,2021-04-21 13:30:00,13263,United Kingdom,69,133.59
541293,2021-01-17 13:39:00,15311,United Kingdom,145,394.57
578688,2021-11-25 09:27:00,16719,United Kingdom,235,292.67
560896,2021-07-21 17:26:00,15623,United Kingdom,125,301.03
561711,2021-07-29 11:45:00,13414,United Kingdom,368,532.8
575701,2021-11-10 16:59:00,13396,United Kingdom,461,973.72
547886,2021-03-28 09:21:00,13652,United Kingdom,178,329.44
562467,2021-08-05 11:50:00,13513,United Kingdom,109,205.1
563927,2021-08-21 15:01:00,14013,United Kingdom,258,199.22
581471,2021-12-08 19:29:00,14702,United Kingdom,76,199.29
573230,2021-10-28 11:55:00,13199,United Kingdom,48,85.92
568656,2021-09-28 12:21:00,14911,EIRE,70,141.62
554502,2021-05-24 14:47:00,14289,United Kingdom,26,124.68
581017,2021-12-07 10:06:00,14910,United Kingdom,80,110.8
540116,2021-01-05 09:54:00,0,United Kingdom,2,10.13
546428,2021-03-13 14:55:00,12681,France,185,343.29
571090,2021-10-13 15:28:00,15271,United Kingdom,34,79.5
540856,2021-01-12 10:16:00,16655,United Kingdom,373,812.25
568242,2021-09-26 12:11:00,14931,Channel Islands,181,261.65
550713,2021-04-20 11:11:00,15159,United Kingdom,1,12.5
542100,2021-01-25 13:15:00,15339,United Kingdom,159,257.9
549833,2021-04-12 13:19:00,13458,United Kingdom,666,1015.14
571918,2021-10-19 16:05:00,17350,United Kingdom,240,156.24
537759,2020-12-08 11:42:00,13126,United Kingdom,108,203.64
555940,2021-06-08 10:10:00,14191,United Kingdom,98,357.6
560834,2021-07-21 12:15:00,16523,United Kingdom,204,484.4
554366,2021-05-24 10:24:00,17450,United Kingdom,3084,9468.48
566520,2021-09-13 11:26:00,17757,United Kingdom,61,161.19
537471,2020-12-07 10:51:00,14344,United Kingdom,3,17.85
562034,2021-08-02 09:14:00,12449,Belgium,267,777.95
568332,2021-09-26 14:30:00,13434,United Kingdom,240,461.4
556823,2021-06-15 10:24:00,0,United Kingdom,8,77.72
537456,2020-12-07 09:43:00,17450,United Kingdom,780,1989.24
569693,2021-10-05 15:18:00,17837,United Kingdom,105,250.95
573131,2021-10-27 16:44:00,15622,United Kingdom,106,381.95
540099,2021-01-04 16:41:00,15808,United Kingdom,322,733.92
546220,2021-03-10 12:16:00,16745,United Kingdom,584,541.1
560252,2021-07-17 12:35:00,13468,United Kingdom,61,115.87
569653,2021-10-05 12:52:00,12451,Switzerland,1650,2539.56
553545,2021-05-17 15:37:00,0,United Kingdom,68,430.14
575475,2021-11-09 16:03:00,17702,United Kingdom,302,485.6
575703,2021-11-10 16:59:00,13767,United Kingdom,902,1735.3
556279,2021-06-09 19:55:00,14562,United Kingdom,59,215.39
578951,2021-11-27 14:40:00,15514,United Kingdom,277,499.23
578947,2021-11-27 13:49:00,14547,United Kingdom,438,534.58
570129,2021-10-07 13:34:00,12885,United Kingdom,293,519.47
566607,2021-09-13 16:40:00,13032,United Kingdom,175,496.3
580887,2021-12-06 12:26:00,13755,United Kingdom,80,156.9
552523,2021-05-09 16:38:00,15797,United Kingdom,200,330.0
541263,2021-01-16 16:10:00,16843,United Kingdom,534,759.06
542796,2021-02-01 11:07:00,17356,United Kingdom,166,178.22
566776,2021-09-15 09:53:00,14911,EIRE,226,368.37
544170,2021-02-16 14:01:00,16148,United Kingdom,72,76.32
539469,2020-12-19 13:59:00,17841,United Kingdom,152,283.52
549670,2021-04-11 12:45:00,16168,United Kingdom,88,141.2
573902,2021-11-01 14:51:00,17428,United Kingdom,48,311.18
544826,2021-02-24 09:36:00,14513,United Kingdom,7,18.75
541086,2021-01-13 12:32:00,16503,United Kingdom,118,353.7
543824,2021-02-14 09:31:00,14631,United Kingdom,160,309.5
552464,2021-05-09 15:12:00,12726,France,333,223.4
551515,2021-05-01 10:51:00,15606,United Kingdom,104,320.88
540160,2021-01-05 11:50:00,15769,United Kingdom,1032,2574.48
565631,2021-09-05 15:49:00,14680,United Kingdom,568,1226.16
580281,2021-12-02 13:15:00,12704,Finland,81,198.76
559157,2021-07-06 15:53:00,13999,United Kingdom,167,307.03
566257,2021-09-11 12:34:00,13324,United Kingdom,680,855.6
554286,2021-05-23 14:16:00,17686,United Kingdom,97,386.96
546741,2021-03-16 12:22:00,13261,United Kingdom,20,99.0
546029,2021-03-09 08:59:00,15206,United Kingdom,6,17.7
543278,2021-02-06 14:43:00,16745,United Kingdom,406,203.82
540630,2021-01-10 11:59:00,17849,United Kingdom,19,217.75
559817,2021-07-12 16:20:00,0,United Kingdom,652,1839.58
547563,2021-03-24 08:56:00,15651,United Kingdom,238,227.32
554105,2021-05-22 14:04:00,14711,United Kingdom,111,213.06
539442,2020-12-17 15:39:00,16558,United Kingdom,127,311.15
563952,2021-08-22 10:44:00,15572,United Kingdom,267,679.25
545162,2021-02-28 13:35:00,16187,United Kingdom,247,480.9
564966,2021-08-31 15:08:00,17677,United Kingdom,24,34.8
578354,2021-11-24 10:12:00,17139,United Kingdom,232,468.52
550986,2021-04-21 18:06:00,0,United Kingdom,378,1654.97
572926,2021-10-27 09:23:00,15659,United Kingdom,111,306.45
570292,2021-10-10 11:59:00,13418,United Kingdom,124,370.68
550972,2021-04-21 17:05:00,14031,United Kingdom,46,99.63
541850,2021-01-23 13:58:00,14224,United Kingdom,99,244.3
573124,2021-10-27 16:24:00,13654,United Kingdom,24,99.6
571080,2021-10-13 15:19:00,13719,United Kingdom,77,250.49
565420,2021-09-04 12:09:00,16326,United Kingdom,85,313.05
554633,2021-05-25 11:44:00,14287,United Kingdom,144,17.28
543464,2021-02-08 14:15:00,16779,United Kingdom,308,364.32
553655,2021-05-18 11:14:00,16775,United Kingdom,31,114.7
553559,2021-05-17 17:12:00,14931,Channel Islands,1,293.0
551391,2021-04-28 12:06:00,15514,United Kingdom,152,385.2
559491,2021-07-08 13:53:00,0,United Kingdom,119,646.04
544391,2021-02-18 11:53:00,15755,United Kingdom,198,314.68
575039,2021-11-08 11:53:00,15005,United Kingdom,245,327.22
544098,2021-02-16 10:04:00,16019,United Kingdom,396,1129.35
579495,2021-11-29 15:34:00,13576,United Kingdom,180,327.48
565852,2021-09-07 13:11:00,0,United Kingdom,7,14.1
569550,2021-10-04 17:32:00,15955,United Kingdom,10,8.5
556827,2021-06-15 10:29:00,15134,United Kingdom,101,171.63
541278,2021-01-17 11:53:00,14135,United Kingdom,52,167.4
553192,2021-05-15 13:27:00,15333,United Kingdom,344,1028.56
548739,2021-04-04 11:28:00,15493,United Kingdom,106,412.49
562949,2021-08-11 09:47:00,14346,United Kingdom,501,759.14
542806,2021-02-01 11:20:00,12836,United Kingdom,254,798.99
573757,2021-11-01 09:46:00,17166,United Kingdom,21,78.75
542925,2021-02-02 09:39:00,14457,United Kingdom,88,113.64
545158,2021-02-28 13:28:00,15874,United Kingdom,52,584.35
549826,2021-04-12 12:53:00,15044,United Kingdom,114,440.5
573830,2021-11-01 11:35:00,16960,United Kingdom,76,148.96
548196,2021-03-29 15:44:00,16011,United Kingdom,63,118.55
575331,2021-11-09 13:52:00,13209,United Kingdom,593,1049.66
566491,2021-09-13 10:25:00,14060,United Kingdom,216,294.24
556514,2021-06-13 10:45:00,0,United Kingdom,2,23.25
572670,2021-10-25 13:14:00,13685,United Kingdom,1524,594.36
554356,2021-05-24 09:25:00,12670,France,210,393.34
566062,2021-09-08 15:39:00,14522,United Kingdom,251,482.07
551293,2021-04-27 14:28:00,14298,United Kingdom,618,428.64
574747,2021-11-07 08:34:00,15618,United Kingdom,239,357.81
555846,2021-06-07 13:21:00,14180,United Kingdom,21,149.15
540455,2021-01-07 12:07:00,12583,France,491,730.16
562721,2021-08-08 16:31:00,15985,United Kingdom,208,242.84
545021,2021-02-25 14:11:00,17663,United Kingdom,179,371.39
555367,2021-06-02 14:28:00,17900,United Kingdom,49,79.8
569907,2021-10-06 16:41:00,12569,Germany,13,77.4
559819,2021-07-12 16:58:00,12682,France,117,256.7
575579,2021-11-10 11:49:00,13081,United Kingdom,144,72.0
578665,2021-11-24 17:02:00,16570,United Kingdom,208,427.08
547796,2021-03-25 12:34:00,14646,Netherlands,731,1407.86
554967,2021-05-27 16:23:00,0,United Kingdom,1,5.95
543032,2021-02-02 15:39:00,12990,United Kingdom,50,97.5
562166,2021-08-03 12:10:00,13209,United Kingdom,524,595.26
556235,2021-06-09 15:29:00,12778,Netherlands,85,84.0
571741,2021-10-19 10:36:00,15610,United Kingdom,66,112.46
537354,2020-12-06 12:23:00,12748,United Kingdom,85,133.07
560576,2021-07-19 14:59:00,17287,United Kingdom,110,202.07
581253,2021-12-08 11:15:00,16891,United Kingdom,28,115.95
572913,2021-10-26 16:21:00,15993,United Kingdom,678,863.89
547324,2021-03-22 11:27:00,13014,United Kingdom,108,317.8
579489,2021-11-29 15:22:00,16775,United Kingdom,27,129.15
565480,2021-09-05 11:27:00,18273,United Kingdom,40,102.0
551558,2021-05-03 10:41:00,17841,United Kingdom,152,327.71
536614,2020-12-02 09:44:00,17850,United Kingdom,12,22.2
559525,2021-07-10 10:30:00,16923,United Kingdom,214,391.52
536920,2020-12-03 12:01:00,0,United Kingdom,58,69.3
560714,2021-07-20 13:10:00,14456,United Kingdom,20,26.25
548746,2021-04-04 12:11:00,12471,Germany,40,50.0
566248,2021-09-11 12:06:00,13272,United Kingdom,72,140.96
565475,2021-09-05 10:47:00,14156,EIRE,5034,7480.06
565424,2021-09-04 12:24:00,15215,United Kingdom,92,300.04
540350,2021-01-06 14:14:00,18283,United Kingdom,61,108.45
553612,2021-05-18 10:48:00,17556,United Kingdom,101,157.9
540274,2021-01-06 11:59:00,14618,United Kingdom,92,211.8
550996,2021-04-26 08:57:00,16681,United Kingdom,260,314.92
581580,2021-12-09 12:20:00,12748,United Kingdom,82,94.11
574149,2021-11-03 11:29:00,13709,United Kingdom,293,774.9
544408,2021-02-18 13:29:00,16726,United Kingdom,106,61.0
540273,2021-01-06 11:57:00,17368,United Kingdom,711,563.15
578993,2021-11-27 15:38:00,15987,United Kingdom,182,244.86
581395,2021-12-08 13:18:00,16892,United Kingdom,35,123.12
543279,2021-02-06 14:46:00,17105,United Kingdom,359,319.4
577813,2021-11-22 09:06:00,14297,United Kingdom,458,580.38
545103,2021-02-28 11:57:00,15039,United Kingdom,2,11.9
552245,2021-05-06 19:42:00,12748,United Kingdom,14,108.87
542905,2021-02-01 15:11:00,12540,Spain,193,288.98
574705,2021-11-06 14:06:00,14553,United Kingdom,21,194.4
564951,2021-08-31 13:35:00,0,United Kingdom,1,8.25
565141,2021-09-01 13:40:00,17841,United Kingdom,212,354.39
560246,2021-07-17 12:17:00,14292,United Kingdom,328,1353.1
554026,2021-05-20 13:34:00,13324,United Kingdom,376,648.72
568135,2021-09-23 17:04:00,0,United Kingdom,664,1934.53
574952,2021-11-08 09:47:00,13924,United Kingdom,123,172.33
564095,2021-08-23 10:31:00,14930,Channel Islands,52,165.58
577298,2021-11-18 12:49:00,14299,United Kingdom,497,525.55
557886,2021-06-23 13:39:00,17799,United Kingdom,233,580.04
536884,2020-12-03 11:42:00,14589,United Kingdom,5,39.75
572676,2021-10-25 13:30:00,16258,United Kingdom,649,1462.45
557126,2021-06-16 19:21:00,18168,United Kingdom,83,115.15
557118,2021-06-16 17:05:00,14849,United Kingdom,254,364.16
562885,2021-08-10 11:30:00,14024,United Kingdom,51,65.25
576906,2021-11-17 09:33:00,18225,United Kingdom,575,616.48
552248,2021-05-06 19:49:00,12748,United Kingdom,3,7.15
560997,2021-07-22 13:59:00,12627,Germany,426,768.02
569702,2021-10-05 16:09:00,14396,United Kingdom,186,377.64
580372,2021-12-02 17:04:00,16359,United Kingdom,91,110.73
543121,2021-02-03 13:58:00,12662,Germany,184,336.7
565240,2021-09-02 10:05:00,17949,United Kingdom,372,1047.12
539338,2020-12-17 10:54:00,17404,Sweden,3714,2646.3
571439,2021-10-17 13:25:00,17206,United Kingdom,76,204.24
566667,2021-09-14 11:34:00,14660,United Kingdom,124,156.79
538879,2020-12-14 15:50:00,15392,United Kingdom,402,338.98
546520,2021-03-14 12:28:00,14911,EIRE,498,706.6
559981,2021-07-14 11:30:00,14562,United Kingdom,246,603.54
565426,2021-09-04 12:41:00,12851,United Kingdom,109,135.18
578999,2021-11-27 16:08:00,17595,United Kingdom,144,230.89
577158,2021-11-18 09:58:00,16293,United Kingdom,135,342.83
569249,2021-10-03 10:15:00,14092,United Kingdom,153,351.17
536370,2020-12-01 08:45:00,12583,France,449,855.86
564040,2021-08-22 12:45:00,14560,United Kingdom,16,57.2
549983,2021-04-13 15:55:00,16348,United Kingdom,77,157.29
567628,2021-09-21 13:01:00,14060,United Kingdom,646,738.58
558389,2021-06-29 10:18:00,14383,United Kingdom,201,242.09
567917,2021-09-22 17:19:00,14298,United Kingdom,2235,1364.61
579121,2021-11-28 12:01:00,17299,United Kingdom,69,91.06
565324,2021-09-02 13:18:00,13232,United Kingdom,105,169.85
548148,2021-03-29 12:31:00,17931,United Kingdom,164,297.2
580658,2021-12-05 13:44:00,17090,United Kingdom,122,224.04
580308,2021-12-02 14:30:00,14250,United Kingdom,138,240.22
563177,2021-08-12 14:03:00,17293,United Kingdom,1,65.0
571622,2021-10-18 10:58:00,14798,United Kingdom,46,76.34
578029,2021-11-22 13:33:00,16985,United Kingdom,285,860.7
543907,2021-02-14 12:16:00,17346,United Kingdom,62,105.57
553205,2021-05-16 08:13:00,15813,United Kingdom,234,533.26
577393,2021-11-18 17:06:00,14031,United Kingdom,806,2068.09
552972,2021-05-12 13:43:00,16043,United Kingdom,85,224.54
554997,2021-05-29 15:35:00,16746,United Kingdom,226,321.96
576326,2021-11-14 15:18:00,16504,United Kingdom,524,484.38
568150,2021-09-25 11:39:00,16689,United Kingdom,64,128.44
557670,2021-06-22 10:11:00,12798,Japan,2256,1607.04
562460,2021-08-05 11:19:00,17841,United Kingdom,169,245.83
576388,2021-11-15 10:00:00,17510,United Kingdom,214,308.48
542541,2021-01-28 14:25:00,0,United Kingdom,345,1551.56
555836,2021-06-07 12:36:00,13098,United Kingdom,469,531.36
543273,2021-02-06 11:29:00,16456,United Kingdom,247,449.28
581399,2021-12-08 13:27:00,17528,United Kingdom,198,200.5
544905,2021-02-24 13:54:00,17117,United Kingdom,68,116.2
576650,2021-11-16 10:34:00,14286,United Kingdom,1505,1935.9
549274,2021-04-07 13:07:00,12721,France,239,366.2
575710,2021-11-10 17:29:00,17901,United Kingdom,24,110.38
562788,2021-08-09 13:48:00,17669,United Kingdom,206,368.5
555286,2021-06-02 09:40:00,14298,United Kingdom,36,51.0
554667,2021-05-25 15:18:00,15727,United Kingdom,214,374.82
548991,2021-04-05 13:48:00,16915,United Kingdom,29,112.49
554709,2021-05-26 10:35:00,15769,United Kingdom,600,1086.0
570333,2021-10-10 12:19:00,18126,United Kingdom,144,206.83
556214,2021-06-09 14:14:00,14913,United Kingdom,455,301.32
569850,2021-10-06 13:59:00,16432,United Kingdom,276,287.4
557351,2021-06-20 10:42:00,16670,United Kingdom,4,13.0
571692,2021-10-18 14:34:00,13860,United Kingdom,7,27.29
563613,2021-08-18 08:49:00,12688,Israel,3028,4873.81
564821,2021-08-30 12:16:00,14078,United Kingdom,73,221.46
565123,2021-09-01 11:56:00,17949,United Kingdom,96,480.0
574480,2021-11-04 12:42:00,15010,United Kingdom,184,308.94
556516,2021-06-13 10:46:00,0,United Kingdom,50,351.42
569684,2021-10-05 14:42:00,13947,United Kingdom,44,90.6
561878,2021-07-31 12:34:00,17388,United Kingdom,59,189.83
579000,2021-11-27 16:18:00,13991,United Kingdom,14,31.3
573586,2021-10-31 14:48:00,14704,United Kingdom,1,15.0
556271,2021-06-09 19:40:00,17483,United Kingdom,50,155.1
556495,2021-06-12 15:14:00,18069,United Kingdom,179,304.31
562042,2021-08-02 10:19:00,13075,United Kingdom,485,919.61
543043,2021-02-02 17:15:00,17848,United Kingdom,13,44.35
542535,2021-01-28 13:37:00,12735,France,105,459.8
552676,2021-05-10 15:07:00,0,United Kingdom,106,864.26
